# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 999, i.e. number of multipoles equal to 998
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:lens[1]-lens[1]        3:lens[1]-lens[2]        4:lens[2]-lens[2]    
  196       5.881510682354e-15       1.369054950028e-14       5.536649685475e-14 
  197       5.788999208524e-15       1.347537700405e-14       5.447953673983e-14 
  198       5.698392043721e-15       1.326466199572e-14       5.361123891217e-14 
  199       5.609577069030e-15       1.305814061772e-14       5.276049950431e-14 
  200       5.522434310297e-15       1.285553059152e-14       5.192613788457e-14 
  201       5.436858955124e-15       1.265658529873e-14       5.110712202273e-14 
  202       5.352832477421e-15       1.246126089498e-14       5.030326488039e-14 
  203       5.270356375434e-15       1.226956062259e-14       4.951457563956e-14 
  204       5.189429447921e-15       1.208148141979e-14       4.874103721654e-14 
  205       5.110047746456e-15       1.189701380938e-14       4.798260579947e-14 
  206       5.032204527726e-15       1.171614178743e-14       4.723921038581e-14 
  207       4.955890205834e-15       1.153884271197e-14       4.651075231984e-14 
  208       4.881092304595e-15       1.136508719160e-14       4.579710483018e-14 
  209       4.807795409839e-15       1.119483897427e-14       4.509811256728e-14 
  210       4.735981121710e-15       1.102805483587e-14       4.441359114098e-14 
  211       4.665628006968e-15       1.086468446896e-14       4.374332665792e-14 
  212       4.596711551285e-15       1.070467037143e-14       4.308707525915e-14 
  213       4.529204111547e-15       1.054794773519e-14       4.244456265757e-14 
  214       4.463074868156e-15       1.039444433484e-14       4.181548367547e-14 
  215       4.398289777327e-15       1.024408041635e-14       4.119950178200e-14 
  216       4.334811523390e-15       1.009676858572e-14       4.059624863074e-14 
  217       4.272599471088e-15       9.952413697721e-15       4.000532359712e-14 
  218       4.211609617879e-15       9.810912744491e-15       3.942629331601e-14 
  219       4.151794546234e-15       9.672154744273e-15       3.885869121919e-14 
  220       4.093103375941e-15       9.536020630071e-15       3.830201707284e-14 
